"id","modele","X1","X2","X3","X4","signal","epsilon","Y"
1,"Modèle 1","source","a2",0.571052026734365,0.409046159482978,2.85657804010155,-1.00587305684972,1.85070498325182
2,"Modèle 1","cible","b2",0.705265207527487,0.773538528943138,2.95526520752749,-2.6866549415618,0.268610265965691
3,"Modèle 1","cible","c2",1.12473787384847,-0.700239331065126,4.87473787384847,-0.157276545960389,4.71746132788808
4,"Modèle 1","cible","c2",-0.855520552140464,-0.101910136200739,2.89447944785954,-2.07426565850646,0.820213789353073
5,"Modèle 1","cible","b2",0.148897997099652,-0.316114359451594,2.39889799709965,-0.323182903373474,2.07571509372618
6,"Modèle 1","cible","a2",-1.88031568920662,0.798163538459866,1.11968431079338,0.667330158400486,1.78701446919387
7,"Modèle 1","cible","c2",-0.138834113109004,-1.58081513562654,3.611165886891,0.20464598858734,3.81581187547834
8,"Modèle 1","cible","b2",0.834432492113607,-1.04520031937274,3.08443249211361,0.990395420932544,4.07482791304615
9,"Modèle 1","cible","b2",-1.79773651416614,-0.419823590121602,0.452263485833863,-0.790751556791946,-0.338488070958083
10,"Modèle 1","source","b2",0.655460382921685,-0.601598259976325,2.23319057438253,0.493617427855296,2.72680800223782
11,"Modèle 1","source","a2",1.82225170916729,0.91871709545567,4.73337756375093,-0.821630951523402,3.91174661222753
12,"Modèle 1","source","a2",1.38195678732526,-1.95161986643351,4.07293518098789,-1.41650659107697,2.65642858991092
13,"Modèle 1","cible","c2",-1.52952859687595,-0.374925908389421,2.22047140312405,-0.0885207923577965,2.13195061076626
14,"Modèle 1","cible","c2",1.15869016523715,0.224343802610836,4.90869016523715,-0.955418757935264,3.95327140730189
15,"Modèle 1","source","b2",-0.633255750042178,0.3764267123167,0.300116374936733,0.585013283751587,0.88512965868832
16,"Modèle 1","source","a2",-0.464665058037999,-0.422731394042167,1.303002412943,1.06467265831258,2.36767507125558
17,"Modèle 1","cible","b2",0.161326469405137,1.74250052150861,2.41132646940514,1.53033889986598,3.94166536927111
18,"Modèle 1","cible","b2",1.8807874092728,0.669890208677227,4.1307874092728,-0.514946854547934,3.61584055472487
19,"Modèle 1","cible","c2",-0.569413641034681,2.87009389825763,3.18058635896532,-0.0368113305638187,3.1437750284015
20,"Modèle 1","source","b2",0.988018652878432,1.0187583432581,2.73202797931765,0.409306849773463,3.14133482909111
21,"Modèle 1","cible","a2",0.299393192864863,0.844810171547845,3.29939319286486,0.331147702924931,3.63054089578979
22,"Modèle 1","source","b2",0.0547823622355954,-0.962385924923948,1.33217354335339,-1.0592761882935,0.272897355059898
23,"Modèle 1","cible","c2",-0.0506877391000976,0.609162418459586,3.6993122608999,-0.457073295639307,3.2422389652606
24,"Modèle 1","source","a2",-0.373172513025248,-1.27022353026029,1.44024123046213,-0.458316893940027,0.981924336522101
25,"Modèle 1","source","b2",-0.755166198446086,-1.00448958510789,0.11725070233087,-0.122476830416972,-0.0052261280861019
26,"Modèle 1","cible","b2",0.569472175701586,1.34512647151032,2.81947217570159,0.22017553095078,3.03964770665237
27,"Modèle 1","source","b2",-0.941994334362615,0.116331582839519,-0.162991501543923,0.576116123551973,0.413124622008049
28,"Modèle 1","source","b2",-0.730294091747114,-0.667921676482568,0.154558862379328,0.105306424828378,0.259865287207706
29,"Modèle 1","source","c2",-1.19671446214716,1.10032592031322,0.954928306779259,1.047914730933,2.00284303771226
30,"Modèle 1","source","a2",1.35786173887889,-0.193286572928143,4.03679260831834,-2.36095239235808,1.67584021596026
31,"Modèle 1","cible","b2",-0.125639639087275,-1.37455290536005,2.12436036091273,1.46812685257848,3.59248721349121
32,"Modèle 1","source","b2",-0.284507579114847,-1.51621081256753,0.82323863132773,0.945668630778686,1.76890726210642
33,"Modèle 1","source","c2",-0.451122667051227,2.18256837321261,2.07331599942316,2.04784574784121,4.12116174726437
